ID,target_residue,residue_location,protein_location,PTM_type,ChEBI,RESID,CCD_substructure,Check,CCD_resid,CCD_combined
"(4S)-4,5-dihydroxyleucine",Leucine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141819,AA0446,"EEP, G5G",nan,nan,"G5G, EEP"
"3,4-dihydroxyarginine",Arginine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141829,AA0369,2OR,nan,nan,2OR
"""3,4-dihydroxyphenylalanine""",Tyrosine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141815,AA0146,"DAH, TY3",DAH,DAH,"TY3, DAH"
"""3,4,5-trihydroxyphenylalanine""",Tyrosine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141811,AA0263,nan,nan,nan,
2-hydroxyproline,Proline.,Amino acid side chain.,Anywhere.,Hydroxylation.,141809,AA0602,PXU,PXU,PXU,PXU
"3,4-dihydroxyproline",Proline.,Amino acid side chain.,Anywhere.,Hydroxylation.,141832,nan,nan,nan,nan,
3-hydroxyasparagine,Asparagine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141828,nan,"AHB, OWF",nan,nan,"OWF, AHB"
3-hydroxyaspartate,Aspartate.,Amino acid side chain.,Anywhere.,Hydroxylation.,17427,nan,"DOH, 999, BH2, BHD",nan,nan,"DOH, BH2, 999, BHD"
3-hydroxyphenylalanine,Phenylalanine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141841,AA0462,"H14, BB8",nan,nan,"H14, BB8"
3-hydroxyproline,Proline.,Amino acid side chain.,Anywhere.,Hydroxylation.,85428,AA0029,"HY3, G8X",nan,nan,"G8X, HY3"
3-hydroxytryptophan,Tryptophan.,Amino acid side chain.,Anywhere.,Hydroxylation.,141794,AA0322,"UX8, HTR",HTR,HTR,"UX8, HTR"
3-hydroxyvaline (Val),Valine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141793,AA0463,"DHV, HVA",nan,nan,"DHV, HVA"
"""4,5,5-trihydroxyleucine""",Leucine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141818,AA0480,nan,nan,nan,
"4,5-dihydroxylysine",Lysine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141816,AA0370,nan,nan,nan,
4-hydroxyarginine,Arginine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141854,AA0215,ARO,ARO,ARO,ARO
4-hydroxyglutamate,Glutamate.,Amino acid side chain.,Anywhere.,Hydroxylation.,141845,AA0487,3GL,3GL,3GL,3GL
4-hydroxylysine,Lysine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141495,AA0235,"UXY, LYO",nan,nan,"UXY, LYO"
4-hydroxyproline,Proline.,Amino acid side chain.,Anywhere.,Hydroxylation.,61965,AA0030,"UY7, UYA, HYP, HZP, 0AZ",HYP,HYP,"0AZ, UY7, HYP, UYA, HZP"
5-hydroxylysine,Lysine.,Amino acid side chain.,Anywhere.,Hydroxylation.,141817,AA0028,LYZ,LYZ,LYZ,LYZ
