ID,target_residue,residue_location,protein_location,PTM_type,ChEBI,RESID,CCD_substructure,Check,CCD_resid,CCD_combined
O-(phosphoribosyl dephospho-coenzyme A)serine,Serine.,Amino acid side chain.,Anywhere.,Phosphoprotein.,nan,AA0167,nan,nan,nan,
Phosphoarginine,Arginine.,Amino acid side chain.,Anywhere.,Phosphoprotein.,83226,AA0222,nan,nan,nan,RPI
Phosphocysteine,Cysteine.,Amino acid side chain.,Anywhere.,Phosphoprotein.,61975,AA0034,CSP,CSP,CSP,CSP
Phosphohistidine,Histidine.,Amino acid side chain.,Anywhere.,Phosphoprotein.,nan,nan,nan,nan,nan,
Phosphoserine,Serine.,Amino acid side chain.,Anywhere.,Phosphoprotein.,83421,AA0037,SEP,SEP,SEP,SEP
Phosphothreonine,Threonine.,Amino acid side chain.,Anywhere.,Phosphoprotein.,61977,AA0038,"YTH, D11, TPO",TPO,TPO,"D11, TPO, YTH"
Phosphotyrosine,Tyrosine.,Amino acid side chain.,Anywhere.,Phosphoprotein.,82620,AA0039,nan,PTR,PTR,PTR
Pros-phosphohistidine,Histidine.,Amino acid side chain.,Anywhere.,Phosphoprotein.,64837,AA0036,HIP,nan,nan,HIP
Tele-phosphohistidine,Histidine.,Amino acid side chain.,Anywhere.,Phosphoprotein.,83586,AA0035,NEP,NEP,NEP,NEP
"""3-farnesyl-2,N2-cyclotryptophan""",Tryptophan.,Amino acid side chain.,Anywhere.,Prenylation.,177368,AA0500,nan,nan,nan,
"""3-geranyl-2,N2-cyclotryptophan""",Tryptophan.,Amino acid side chain.,Anywhere.,Prenylation.,141127,AA0408,nan,nan,nan,
"""3-prenyl-2,N2-cyclotryptophan""",Tryptophan.,Amino acid side chain.,Anywhere.,Prenylation.,147338,nan,nan,nan,nan,
S-12-hydroxyfarnesyl cysteine,Cysteine.,Amino acid side chain.,Anywhere.,Prenylation.,143699,AA0103,nan,nan,nan,
S-farnesyl cysteine,Cysteine.,Amino acid side chain.,Anywhere.,Prenylation.,86019,AA0102,nan,nan,nan,
S-geranylgeranyl cysteine,Cysteine.,Amino acid side chain.,Anywhere.,Prenylation.,86021,AA0104,nan,nan,nan,
Pyrrolidone carboxylic acid,Glutamine.,Amino acid backbone.,N-terminal.,Pyrrolidone carboxylic acid.,87215,AA0031,"PCC, PCA, 5HP, 7YO",PCA,PCA,"5HP, 7YO, PCA, PCC"
Pyrrolidone carboxylic acid (Glu),Glutamate.,Amino acid backbone.,N-terminal.,Pyrrolidone carboxylic acid.,87215,AA0031,"PCC, PCA, 5HP, 7YO",PCA,PCA,"5HP, 7YO, PCA, PCC"
2-(S-cysteinyl)pyruvic acid O-phosphothioketal,Cysteine.,Amino acid side chain.,Anywhere.,Pyruvate.,149496,AA0391,QPA,QPA,QPA,QPA
N-pyruvate 2-iminyl-cysteine,Cysteine.,Amino acid backbone.,N-terminal.,Pyruvate.,nan,AA0274,nan,nan,nan,
N-pyruvate 2-iminyl-valine,Valine.,Amino acid backbone.,N-terminal.,Pyruvate.,nan,AA0275,nan,nan,nan,
Pyruvic acid (Cys),Cysteine.,Amino acid backbone.,N-terminal.,Pyruvate.,45360,AA0127,nan,nan,nan,
Pyruvic acid (Ser),Serine.,Amino acid backbone.,N-terminal.,Pyruvate.,45360,AA0127,nan,nan,nan,
Pyruvic acid (Tyr),Tyrosine.,Amino acid backbone.,N-terminal.,Pyruvate.,45360,AA0127,nan,nan,nan,
S-nitrosocysteine,Cysteine.,Amino acid side chain.,Anywhere.,S-nitrosylation.,149494,AA0230,SNC,nan,nan,SNC
Sulfocysteine,Cysteine.,Amino acid side chain.,Anywhere.,Sulfation.,87169,AA0171,CSU,CSU,CSU,CSU
Sulfoserine,Serine.,Amino acid side chain.,Anywhere.,Sulfation.,nan,AA0361,nan,OSE,OSE,OSE
Sulfothreonine,Threonine.,Amino acid side chain.,Anywhere.,Sulfation.,nan,AA0362,nan,nan,nan,
Sulfotyrosine,Tyrosine.,Amino acid side chain.,Anywhere.,Sulfation.,65286,AA0172,"TYS, STY",TYS,TYS,"TYS, STY"
"""2,4,5-topaquinone""",Tyrosine.,Amino acid side chain.,Anywhere.,TPQ.,79027,AA0147,TPQ,TPQ,TPQ,TPQ
