ID,target_residue,residue_location,protein_location,PTM_type,ChEBI,RESID,CCD_substructure,Check,CCD_resid,CCD_combined
N6-(pyridoxal phosphate)lysine,Lysine.,Amino acid side chain.,Anywhere.,Pyridoxal phosphate.,143915.0,AA0119,"IT1, LLP",LLP,LLP,"IT1, LLP"
N6-(retinylidene)lysine,Lysine.,Amino acid side chain.,Anywhere.,Retinal protein.,149695.0,AA0120,nan,LYR,LYR,LYR
N6-poly(methylaminopropyl)lysine,Lysine.,Amino acid side chain.,Anywhere.,Methylation.,nan,AA0278,nan,nan,nan,
N6-poly(beta-hydroxybutyryl)lysine,Lysine.,Amino acid side chain.,Anywhere.,Hydroxylation.,nan,nan,nan,nan,nan,
O3-poly(beta-hydroxybutyryl)serine,Serine.,Amino acid side chain.,Anywhere.,Hydroxylation.,nan,AA0618,nan,nan,nan,
S-poly(beta-hydroxybutyryl)cysteine,Cysteine.,Amino acid side chain.,Anywhere.,Hydroxylation.,nan,AA0617,nan,nan,nan,
S-cyanocysteine,Cysteine.,Amino acid side chain.,Anywhere.,nan,nan,AA0333,nan,nan,nan,
"S-(2,3-dicarboxypropyl)cysteine",Cysteine.,Amino acid side chain.,Anywhere.,nan,144095.0,nan,nan,nan,nan,
"""O-(5-phospho-DNA)-serine""",Serine.,Amino acid side chain.,Anywhere.,Covalent protein-DNA linkage; Phosphoprotein.,nan,AA0246,nan,nan,nan,
"""O-(5-phospho-DNA)-tyrosine""",Tyrosine.,Amino acid side chain.,Anywhere.,Covalent protein-DNA linkage; Phosphoprotein.,nan,AA0254,nan,nan,nan,
"""O-(5-phospho-RNA)-serine""",Serine.,Amino acid side chain.,Anywhere.,Covalent protein-RNA linkage; Phosphoprotein.,nan,AA0213,nan,nan,nan,
"""O-(5-phospho-RNA)-tyrosine""",Tyrosine.,Amino acid side chain.,Anywhere.,Covalent protein-RNA linkage; Phosphoprotein.,nan,AA0249,nan,nan,nan,
O-(sn-1-glycerophosphoryl)serine,Serine.,Amino acid side chain.,Anywhere.,Phosphoprotein.,nan,AA0264,nan,nan,nan,
O-8alpha-FAD tyrosine,Tyrosine.,Amino acid side chain.,Anywhere.,FAD.,nan,AA0145,nan,nan,nan,
Pros-8alpha-FAD histidine,Histidine.,Amino acid side chain.,Anywhere.,FAD.,nan,AA0144,nan,nan,nan,
S-(coelenterazin-3a-yl)cysteine,Cysteine.,Amino acid side chain.,Anywhere.,nan,nan,nan,nan,nan,nan,
S-(dipyrrolylmethanemethyl)cysteine,Cysteine.,Amino acid side chain.,Anywhere.,nan,61892.0,AA0252,nan,nan,nan,DPM
S-4a-FMN cysteine,Cysteine.,Amino acid side chain.,Anywhere.,FMN.,nan,AA0351,nan,nan,nan,
S-6-FMN cysteine,Cysteine.,Amino acid side chain.,Anywhere.,FMN.,nan,AA0220,nan,nan,nan,
S-8alpha-FAD cysteine,Cysteine.,Amino acid side chain.,Anywhere.,FAD.,nan,AA0143,nan,nan,nan,
S-bacillithiol cysteine disulfide,Cysteine.,Amino acid side chain.,Anywhere.,nan,nan,AA0563,nan,nan,nan,
S-cysteinyl cysteine,Cysteine.,Amino acid side chain.,Anywhere.,nan,nan,AA0025,nan,nan,nan,
Serine microcin E492 siderophore ester,Serine.,Amino acid backbone.,C-terminal.,nan,nan,AA0374,nan,nan,nan,
L-cysteine coenzyme A disulfide,Cysteine.,Amino acid side chain.,Anywhere.,nan,195328.0,AA0306,nan,nan,nan,
S-selanylcysteine,Cysteine.,Amino acid side chain.,Anywhere.,Selenium.,nan,AA0277,nan,CSZ,CSZ,CSZ
"Tele-(1,2,3-trihydroxypropan-2-yl)histidine",Histidine.,Amino acid side chain.,Anywhere.,nan,nan,AA0431,nan,HIQ,HIQ,HIQ
