PDB_ID
5DAT
5DGE
5DLQ
5DS8
5DSC
5DTF
5GAK
5MC6
6TNU
7NRC
7OYA
7OYC
7OYD
7RR5
8AAF
8AGT
8AGU
8AGV
8AGX
8AGZ
8BN3
8G5Y
8G5Z
8G61
