PDB_ID
2V85
3KB7
4KUK
5DWQ
5DX1
5DX8
5DXA
5TDC
5VA6
6OI3
7O7Y
7O7Z
7O80
7O81
7ZJW
7ZJX
8BTK
8P2K
8PPK
8PPL
