PDB_ID
2NDG
4YYD
4YYH
4YYK
4YYN
5B0Y
5B76
5B78
5H6Y
5HJB
5HJD
5IOK
5IQL
6MIM
6MIN
6OIE
6RXL
6RXP
8I60
