PDB_ID
1C9U
1CQ1
1CRU
1FLG
1G72
1H4I
1H4J
1KB0
1KV9
1LRW
1OTW
1W6S
1YIQ
2AD6
2AD7
2AD8
2D0V
3A9H
3DAS
3HLX
3HML
4AAH
4CVB
4CVC
4MAE
4MH1
4NY7
4TQO
5XM3
6DAM
6FKW
6JWF
6OC6
6ZCV
6ZCW
7CDL
7CE5
7CE9
7CFX
7O6Z
7WMK
8GY2
